repo,metamodels,originals,originals_links,label 1 reviewer 1,label 2 reviewer 1,label 1 reviewer 2,label 2 reviewer 2,Final label 1,Final label 2,labeller
https://github.com/tylertravismya/cli,tylertravismya$cli$samples#models#bowling.sprint.2.ecore || tylertravismya$cli$samples#models#bowling2.ecore || tylertravismya$cli$samples#models#bowling.ecore,realmethods-public$CLI$samples#models#bowling.sprint.2.ecore || eneufeld$EmfStore-Test$org.eclipse.example.bowlingmodel#model#bowling.ecore || eneufeld$EmfStore-Test$org.eclipse.example.bowlingmodel#model#bowling.ecore,https://github.com/realmethods-public/CLI || https://github.com/eneufeld/EmfStore-Test || https://github.com/eneufeld/EmfStore-Test,Duplication of another repository,Testing/benchmarking/exampling of tools,Duplication of another repository,,Duplication of another repository,,A
https://github.com/flomotlik/softwarearchitekturen,flomotlik$softwarearchitekturen$test#bin#metamodel#metamodel.ecore || flomotlik$softwarearchitekturen$test#src#metamodel#metamodel.ecore,kthoms$org.eclipse.xpand$plugins#org.eclipse.xtend.shared.ui#src#org#eclipse#xtend#shared#ui#wizards#example#metamodel.ecore || kthoms$org.eclipse.xpand$plugins#org.eclipse.xtend.shared.ui#src#org#eclipse#xtend#shared#ui#wizards#example#metamodel.ecore,https://github.com/kthoms/org.eclipse.xpand || https://github.com/kthoms/org.eclipse.xpand,Testing/benchmarking/exampling of tools,,Testing/benchmarking/exampling of tools,,,,A
https://github.com/nickboldt/temp-jbosstools-javaee,nickboldt$temp-jbosstools-javaee$seam#plugins#org.jboss.tools.seam.ui.pages#src#org#jboss#tools#seam#ui#pages#editor#ecore#pages.ecore,jbosstools$jbosstools-javaee$seam#plugins#org.jboss.tools.seam.ui.pages#src#org#jboss#tools#seam#ui#pages#editor#ecore#pages.ecore,https://github.com/jbosstools/jbosstools-javaee,Duplication of another repository,,Duplication of another repository,,,,A
https://github.com/kiegroup/kie-wb-common,kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#drools.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#bpsim.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#color.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#DI.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#DC.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#BPMN20.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#BPMNDI.ecore,kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#drools.ecore || kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#bpsim.ecore || kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#color.ecore || InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#DI.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#model#DC.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore || InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#BPMNDI.ecore,https://github.com/kiegroup/jbpm || https://github.com/kiegroup/jbpm || https://github.com/kiegroup/jbpm || https://github.com/InspireTechnologies/org.eclipse.bpmn2 || https://github.com/bbrodt/bpmn2 || https://github.com/bbrodt/bpmn2 || https://github.com/InspireTechnologies/org.eclipse.bpmn2,Meta-model(s) reused as part of the main tooling,,Meta-model(s) reused as part of the main tooling,,,,A
https://github.com/jdeolive/geotools-old,jdeolive$geotools-old$modules#ogc#net.opengis.wcs#gml.ecore || jdeolive$geotools-old$modules#ogc#net.opengis.ows#ows10.ecore || jdeolive$geotools-old$modules#ogc#net.opengis.wfs#wfs.ecore || jdeolive$geotools-old$modules#ogc#net.opengis.wfsv#wfs.ecore || jdeolive$geotools-old$modules#ogc#net.opengis.wfsv#wfsv.ecore,netconstructor$geotools-1$modules#ogc#net.opengis.wcs#gml.ecore || netconstructor$geotools-1$modules#ogc#net.opengis.ows#ows10.ecore || netconstructor$geotools-1$modules#ogc#net.opengis.wfs#wfs.ecore || netconstructor$geotools-1$modules#ogc#net.opengis.wfs#wfs.ecore || netconstructor$geotools-1$modules#ogc#net.opengis.wfsv#wfsv.ecore,https://github.com/netconstructor/geotools-1 || https://github.com/netconstructor/geotools-1 || https://github.com/netconstructor/geotools-1 || https://github.com/netconstructor/geotools-1 || https://github.com/netconstructor/geotools-1,Duplication of another repository,,Duplication of another repository,,,,A
https://github.com/iwonasado/Programming_Techniques,iwonasado$Programming_Techniques$utils#umc_dev#org.wesnoth#src-gen#org#wesnoth#WML.ecore,battle-for-wesnoth$svn$utils#umc_dev#org.wesnoth#src-gen#org#wesnoth#WML.ecore,https://github.com/battle-for-wesnoth/svn,Duplication of another repository,,Duplication of another repository,,,,A
https://github.com/fpetitdemang/stage2014,fpetitdemang$stage2014$workspace#emf.html#model#DefaultName.ecore || fpetitdemang$stage2014$outil_IDM#HTML.ecore || fpetitdemang$stage2014$workspace#emf.html#model#html.ecore,atlanmod$org.eclipse.atl.reactive$usecases#org.eclipse.m2m.atl.research.aml#plugins#org.eclipse.m2m.atl.research.aml.engine#Metamodels#HTML.ecore || atlanmod$org.eclipse.atl.reactive$usecases#org.eclipse.m2m.atl.research.aml#plugins#org.eclipse.m2m.atl.research.aml.engine#Metamodels#HTML.ecore || atlanmod$org.eclipse.atl.reactive$usecases#org.eclipse.m2m.atl.research.aml#plugins#org.eclipse.m2m.atl.research.aml.engine#Metamodels#HTML.ecore,https://github.com/atlanmod/org.eclipse.atl.reactive || https://github.com/atlanmod/org.eclipse.atl.reactive || https://github.com/atlanmod/org.eclipse.atl.reactive,Meta-model(s) reused as part of the main tooling,,Meta-model(s) reused as part of the main tooling,,,,A
https://github.com/lucascraft/ubiquisense,lucascraft$ubiquisense$net.sf.smbt.osc.tuio#model#eztuio.ecore || lucascraft$ubiquisense$net.sf.smbt.osc.tuio#model#eztuio2.ecore,lucascraft$ubq$net.sf.smbt.osc.tuio#model#eztuio.ecore || lucascraft$ubq$net.sf.smbt.osc.tuio#model#eztuio2.ecore,https://github.com/lucascraft/ubq || https://github.com/lucascraft/ubq,Dependency projects added to the repository,,Dependency projects added to the repository,,,,A
https://github.com/dice-project/DICE-Profiles,dice-project$DICE-Profiles$bundles#org.eclipse.uml2.uml#src#org#eclipse#uml2#uml#internal#impl#uml.ecore || dice-project$DICE-Profiles$bundles#org.eclipse.uml2.uml#model#CMOF24.ecore || dice-project$DICE-Profiles$bundles#org.eclipse.uml2.uml#model#CMOF20.ecore || dice-project$DICE-Profiles$bundles#org.eclipse.uml2.uml#model#CMOF241.ecore || dice-project$DICE-Profiles$bundles#org.eclipse.uml2.uml#model#CMOF.ecore,creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#src#org#eclipse#uml2#uml#internal#impl#uml.ecore || creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#model#CMOF.ecore || DylanYu$smatrt$cases#JarUML#generated#JavaUML#model#CMOF.ecore || creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#model#CMOF.ecore || creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#model#CMOF.ecore,https://github.com/creckord/org.eclipse.uml2 || https://github.com/creckord/org.eclipse.uml2 || https://github.com/DylanYu/smatrt || https://github.com/creckord/org.eclipse.uml2 || https://github.com/creckord/org.eclipse.uml2,Dependency projects added to the repository,,Dependency projects added to the repository,,,,A
https://github.com/vhfragal/ConFTGen-tool,vhfragal$ConFTGen-tool$work_neon_ubu#org.yakindu.base.expressions#model#Expressions.ecore || vhfragal$ConFTGen-tool$work_neon_ubu#org.yakindu.sct.model.sgen#model#emf#sgen.ecore || vhfragal$ConFTGen-tool$work_neon_ubu#org.yakindu.base.types#model#base.ecore || vhfragal$ConFTGen-tool$work_neon_ubu#org.yakindu.sct.simulation.core#model#sruntime.ecore || vhfragal$ConFTGen-tool$work_neon_ubu#org.yakindu.sct.model.sgraph#model#emf#sgraph.ecore || vhfragal$ConFTGen-tool$work_neon_ubu#org.yakindu.sct.model.stext#model#SText.ecore || vhfragal$ConFTGen-tool$work_neon_ubu#org.yakindu.sct.model.sgen#src#org#yakindu#sct#model#sgen#impl#sgen.ecore,huybuidac20593$yakindu$BASE#trunk#plugins#org.yakindu.base.expressions#model#Expressions.ecore || Yakindu$statecharts$plugins#org.yakindu.sct.model.sgen#model#emf#sgen.ecore || Yakindu$statecharts$plugins#org.yakindu.base.types#model#base.ecore || huybuidac20593$yakindu$SCT2#trunk#plugins#org.yakindu.sct.simulation.core#model#sruntime.ecore || huybuidac20593$yakindu$SCT2#tags#TAG_20110503_1020_PRE_XTEXT2.0_CHANGE#plugins#org.yakindu.sct.model.statechart#model#emf#statechart.ecore || Yakindu$statecharts$plugins#org.yakindu.sct.model.stext#model#SText.ecore || Yakindu$statecharts$plugins#org.yakindu.sct.model.sgen#model#emf#sgen.ecore,https://github.com/huybuidac20593/yakindu || https://github.com/Yakindu/statecharts || https://github.com/Yakindu/statecharts || https://github.com/huybuidac20593/yakindu || https://github.com/huybuidac20593/yakindu || https://github.com/Yakindu/statecharts || https://github.com/Yakindu/statecharts,Dependency projects added to the repository,,Dependency projects added to the repository,,,,A
