repo;url;files;label 1 reviewer 1;label 2 reviewer 1;label 3 reviewer 1;label 1 reviewer 2;label 2 reviewer 2;label 3 reviewer 2;Final label 1;Final label 2;Final label 3;labeller
SINTEF-9012/cloudml;https://github.com/SINTEF-9012/cloudml;"[[""SINTEF-9012$cloudml$codecs#kmf#metamodel#CloudML-2.1.ecore"", ""SINTEF-9012$cloudml$codecs#kmf#metamodel#CloudML-2.0.ecore""]]";Versioning by explicit duplication;Coexistence of metamodel versions;;Versioning by explicit duplication;;;Versioning by explicit duplication;;;A
umple/umple;https://github.com/umple/umple;"[[""umple$umple$cruise.umple.validator#test#cruise#umple#validator#EcoreValidatorTest_invalid.ecore"", ""umple$umple$cruise.umple.validator#test#cruise#umple#validator#EcoreValidatorTest_valid.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
fanta-mnix/bpmn2-modeler;https://github.com/fanta-mnix/bpmn2-modeler;"[[""fanta-mnix$bpmn2-modeler$org.eclipse.bpmn2.modeler.runtime.jboss.jbpm5#model#latest#drools.ecore"", ""fanta-mnix$bpmn2-modeler$org.eclipse.bpmn2.modeler.runtime.jboss.jbpm5#model#drools.ecore""], [""fanta-mnix$bpmn2-modeler$org.eclipse.bpmn2.modeler.runtime.jboss.jbpm5#model#latest#bpsim.ecore"", ""fanta-mnix$bpmn2-modeler$org.eclipse.bpmn2.modeler.runtime.jboss.jbpm5#model#bpsim.ecore""]]";Versioning by explicit duplication;;;Versioning by explicit duplication;;;;;;A
fx-world/GenerationGap;https://github.com/fx-world/GenerationGap;"[[""fx-world$GenerationGap$jars#generationgap-maven-plugin#src#test#resources#unit#simpleGeneration#metamodel#test.ecore"", ""fx-world$GenerationGap$plugins#de.fxworld.generationgap.core.tests#testdata#simpleGeneration#metamodel#test.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
cfowlie/ECSE439;https://github.com/cfowlie/ECSE439;"[[""cfowlie$ECSE439$xpandtranslation#bin#metamodel#BankSystem.ecore"", ""cfowlie$ECSE439$Final_project#project#model#generated#BankSystem.ecore"", ""cfowlie$ECSE439$xpandtranslation#src#metamodel#BankSystem.ecore""], [""cfowlie$ECSE439$xpandtranslation#bin#metamodel#metamodel.ecore"", ""cfowlie$ECSE439$xpandtranslation#src#metamodel#metamodel.ecore""]]";Gen/bin is not gitignored;;;Gen/bin is not gitignored;Different modules reuse the same meta-model;;Gen/bin is not gitignored;Different modules reuse the same meta-model;;A
mdecommunity-uece/MDE-in-practice;https://github.com/mdecommunity-uece/MDE-in-practice;"[[""mdecommunity-uece$MDE-in-practice$project#org.eclipse.acceleo.module.diagramadeatividades#meta-model#activitydiagram.ecore"", ""mdecommunity-uece$MDE-in-practice$project#activitydiagram#model#activitydiagram.ecore""]]";Different modules reuse the same meta-model;;;Different modules reuse the same meta-model;;;;;;A
Morgan-Stanley/Saturn;https://github.com/Morgan-Stanley/Saturn;"[[""Morgan-Stanley$Saturn$com.ms.qaTools.saturn.model#model#sybaseResource.ecore"", ""Morgan-Stanley$Saturn$com.ms.qaTools.saturn.model#src-gen#com#ms#_2006#saturn#resources#sybase#sybaseResource.ecore""]]";Gen/bin is not gitignored;;;Gen/bin is not gitignored;;;;;;A
ewillink/org.eclipse.uml2;https://github.com/ewillink/org.eclipse.uml2;"[[""ewillink$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#model#CMOF24.ecore"", ""ewillink$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#model#CMOF.ecore"", ""ewillink$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#model#CMOF241.ecore""], [""ewillink$org.eclipse.uml2$deprecated#org.eclipse.uml2.uml.profile.l2#model#L2.ecore"", ""ewillink$org.eclipse.uml2$plugins#org.eclipse.uml2.uml.profile.standard#model#Standard.ecore""]]";Coexistence of metamodel versions;;;Coexistence of metamodel versions;;;;;;A
marcotinacci/SwarmRobotics;https://github.com/marcotinacci/SwarmRobotics;"[[""marcotinacci$SwarmRobotics$SEAL#unifi.marcotinacci.thesis.seal#bin#unifi#marcotinacci#thesis#seal#Seal.ecore"", ""marcotinacci$SwarmRobotics$SEAL#unifi.marcotinacci.thesis.seal#src-gen#unifi#marcotinacci#thesis#seal#Seal.ecore""]]";Gen/bin is not gitignored;;;Gen/bin is not gitignored;;;;;;A
markus1978/srcrepo;https://github.com/markus1978/srcrepo;"[[""markus1978$srcrepo$de.hub.srcrepo#models#RepositoryModel.ecore"", ""markus1978$srcrepo$de.hub.srcrepo.emffrag#models#RepositoryModel.ecore""]]";Different modules reuse the same meta-model;;;Different modules reuse the same meta-model;;;;;;A
aarfe/Tesi;https://github.com/aarfe/Tesi;"[[""aarfe$Tesi$sourceCode#Acceleo3.3CodeEclipseModelingIndigo3.7.2#01_FirstExampleBpelToJava#bpelModelsECORE#partnerlinktype.ecore"", ""aarfe$Tesi$sourceCode#WebServAndBPELProcess#BPEL_SimpleProcess#bpelContent#model#partnerlinktype.ecore""], [""aarfe$Tesi$sourceCode#WebServAndBPELProcess#BPEL_SimpleProcess#bpelContent#model#messageproperties.ecore"", ""aarfe$Tesi$sourceCode#Acceleo3.3CodeEclipseModelingIndigo3.7.2#01_FirstExampleBpelToJava#bpelModelsECORE#messageproperties.ecore""], [""aarfe$Tesi$sourceCode#WebServAndBPELProcess#BPEL_SimpleProcess#bpelContent#model#bpel.ecore"", ""aarfe$Tesi$sourceCode#Acceleo3.3CodeEclipseModelingIndigo3.7.2#01_FirstExampleBpelToJava#bpelModelsECORE#bpel.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
KROKIteam/KROKI-binaries;https://github.com/KROKIteam/KROKI-binaries;"[[""KROKIteam$KROKI-binaries$raw#libECore#org.eclipse.uml2.uml#model#CMOF24.ecore"", ""KROKIteam$KROKI-binaries$raw#libECore#org.eclipse.uml2.uml#model#CMOF.ecore""], [""KROKIteam$KROKI-binaries$raw#libECore#org.eclipse.uml2.uml#model#UML30.ecore"", ""KROKIteam$KROKI-binaries$raw#libECore#org.eclipse.uml2.uml#model#UML.ecore""]]";Coexistence of metamodel versions;;;Coexistence of metamodel versions;;;;;;A
remidomingues/XMIGraph;https://github.com/remidomingues/XMIGraph;"[[""remidomingues$XMIGraph$model#uml.ecore"", ""remidomingues$XMIGraph$bin#org#eclipse#uml2#_1#_0#_0#uml#impl#uml.ecore"", ""remidomingues$XMIGraph$src#org#eclipse#uml2#_1#_0#_0#uml#impl#uml.ecore""]]";Gen/bin is not gitignored;;;Duplication caused by technology;Gen/bin is not gitignored;;Duplication caused by technology;Gen/bin is not gitignored;;A
Skabbkladden/TDT4250;https://github.com/Skabbkladden/TDT4250;"[[""Skabbkladden$TDT4250$e4#qa#model#qa.ecore"", ""Skabbkladden$TDT4250$e3#qa#model#qa.ecore""]]";Different modules reuse the same meta-model;Unknown/missing information;;Tutorial/assigments;;;Tutorial/assigments;;;A
audreykoz/NCSA-Archi;https://github.com/audreykoz/NCSA-Archi;"[[""audreykoz$NCSA-Archi$Archi_Mac_4.5.1#Archi_4.5.1.app#Contents#Eclipse#plugins#com.archimatetool.canvas_4.5.1.201908071603#model#canvas.ecore"", ""audreykoz$NCSA-Archi$Archi_Mac#Archi.app#Contents#Eclipse#plugins#com.archimatetool.canvas_4.2.0.201801300957#model#canvas.ecore"", ""audreykoz$NCSA-Archi$Archi_Windows#Archi 4#plugins#com.archimatetool.canvas_4.3.1.201811301135#model#canvas.ecore""], [""audreykoz$NCSA-Archi$Archi_Windows#Archi 4#plugins#com.archimatetool.model_4.3.1.201811301135#model#archimate.ecore"", ""audreykoz$NCSA-Archi$Archi_Mac#Archi.app#Contents#Eclipse#plugins#com.archimatetool.model_4.2.0.201801300957#model#archimate.ecore"", ""audreykoz$NCSA-Archi$Archi_Mac_4.5.1#Archi_4.5.1.app#Contents#Eclipse#plugins#com.archimatetool.model_4.5.1.201908071603#model#archimate.ecore""]]";Different modules reuse the same meta-model;;;Different versions of the same project;Different modules reuse the same meta-model;;Different versions of the same project;;;A
SOM-Research/jsonDiscoverer;https://github.com/SOM-Research/jsonDiscoverer;"[[""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#zooDiscoverer#tan#source1#source1.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#composer#exampleComposer-api1.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#tan#source1#source1.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#tan#source4#source4.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#zooDiscoverer#googleMaps#source1#source1.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#googleMaps#source1#source1.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#composer#exampleComposer-api2.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#snooth#snooth.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#snooth#source1#source1.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#googlePlaces#source2#source2.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#googlePlaces#source4#source4.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#simpleDiscoverer#exampleSimpleRefine.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#simpleDiscoverer#exampleSimpleDiscover.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#googlePlaces#source3#source3.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#googlePlaces#source1#source1.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#googleMaps#source2#source2.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#zooDiscoverer#googleMaps#source2#source2.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#panoramio#source1#source1.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#panoramio#panoramio.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#foursquare#source1#source1.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#foursquare#foursquare.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#gefxConverter#zoo.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#composer#exampleComposer-composed.ecore""], [""SOM-Research$jsonDiscoverer$jsondiscoverer.examples#exampleData#zooDiscoverer#tan#source2#source2.ecore"", ""SOM-Research$jsonDiscoverer$jsondiscoverer.zoo#zoo#tan#source2#source2.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
le99/MHack;https://github.com/le99/MHack;"[[""le99$MHack$PlayApp#model#playApp.ecore"", ""le99$MHack$EGLJquery#metamodel#playApp.ecore""]]";Different modules reuse the same meta-model;;;Different modules reuse the same meta-model;;;;;;A
dcsaszar/raqun;https://github.com/dcsaszar/raqun;"[[""dcsaszar$raqun$NModelCompare#testdata#react_todo_app_2017062714_master_c9ef612a.ecore"", ""dcsaszar$raqun$NModelCompare#testdata#react_todo_app_2017021519_Akasky70_react_todo_app_step_15_4fe6b982.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
