repo;url;files;label 1 reviewer 1;label 2 reviewer 1;label 3 reviewer 1;label 1 reviewer 2;label 2 reviewer 2;label 3 reviewer 2;Final label 1;Final label 2;Final label 3;labeller
ottogroup/emf-avro;https://github.com/ottogroup/emf-avro;"[[""ottogroup$emf-avro$ecore-avro#src#test#resources#test.ecore"", ""ottogroup$emf-avro$eobject-record#src#test#resources#test.ecore""]]";Different modules reuse the same meta-model;;;Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;A
FTSRG/mondo-collab-mergespaceexploration;https://github.com/FTSRG/mondo-collab-mergespaceexploration;"[[""FTSRG$mondo-collab-mergespaceexploration$archive#eu.mondo.collaboration.dsemerge.ikerlanwtid#model#wtspecid.ecore"", ""FTSRG$mondo-collab-mergespaceexploration$archive#eu.mondo.collaboration.dsemerge.ikerlanwtid#src#wtspecid#impl#wtspecid.ecore""]]";Duplication caused by technology;;;Duplication caused by technology;;;;;;A
atlanmod/ACPolicies;https://github.com/atlanmod/ACPolicies;"[[""atlanmod$ACPolicies$InjectExtractATL#metamodels#ATL.ecore"", ""atlanmod$ACPolicies$XACML#metamodels#ATL.ecore""], [""atlanmod$ACPolicies$XACML#metamodels#cs-xacml-schema-context-01.xsd.ecore"", ""atlanmod$ACPolicies$XACML#metamodels#context.ecore""]]";Different modules reuse the same meta-model;Versioning by explicit duplication;;Different modules reuse the same meta-model;Coexistence of metamodel versions;;Different modules reuse the same meta-model;Versioning by explicit duplication;;A
dukeboard/dukeboard.github.io;https://github.com/dukeboard/dukeboard.github.io;"[[""dukeboard$dukeboard.github.io$kmf#playground#cloud.ecore"", ""dukeboard$dukeboard.github.io$_site#kmf#playground#cloud.ecore""]]";Duplication caused by technology;;;Duplication caused by technology;;;;;;A
levilucio/SyVOLT;https://github.com/levilucio/SyVOLT;"[[""levilucio$SyVOLT$eclipse_integration#metamodels#Ecore.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#Copy.ecore"", ""levilucio$SyVOLT$ECore_Copier_MM#Copy.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#testData_ECLarge#Ecore.ecore"", ""levilucio$SyVOLT$ECore_Copier_MM#Ecore-Large.ecore"", ""levilucio$SyVOLT$ECore_Copier_MM#Ecore.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#testData_EC#Ecore.ecore""], [""levilucio$SyVOLT$eclipse_integration#examples#testData_ECLarge#RuleTypesMM.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#RuleTypesMM.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#testData_GM2A#RuleTypesMM.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#testData_EC#RuleTypesMM.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#testData_ERCopier#RuleTypesMM.ecore""], [""levilucio$SyVOLT$eclipse_integration#metamodels#Module.ecore"", ""levilucio$SyVOLT$mbeddr2C_MM#ecore_metamodels#old_Module.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#mbeddr#Module.ecore"", ""levilucio$SyVOLT$mbeddr2C_MM#ecore_metamodels#Module.ecore""], [""levilucio$SyVOLT$ER_Copier_MM#ER_MM.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#ER_MM.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#testData_ERCopier#ER_MM.ecore"", ""levilucio$SyVOLT$ER_Copier_MM#ER_MM_copy.ecore""], [""levilucio$SyVOLT$eclipse_integration#metamodels#rt_new.ecore"", ""levilucio$SyVOLT$UMLRT2Kiltera_MM#transformation_for_prunning#metamodels#rt_new.ecore"", ""levilucio$SyVOLT$UMLRT2Kiltera_MM#metamodels#UMLRT.ecore"", ""levilucio$SyVOLT$UMLRT2Kiltera_MM#metamodels#rt_new.ecore""], [""levilucio$SyVOLT$mbeddr2C_MM#ecore_metamodels#old_C.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#mbeddr#C.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#C.ecore"", ""levilucio$SyVOLT$mbeddr2C_MM#ecore_metamodels#C.ecore""], [""levilucio$SyVOLT$UMLRT2Kiltera_MM#metamodels#klt_new.ecore"", ""levilucio$SyVOLT$UMLRT2Kiltera_MM#transformation_for_prunning#metamodels#klt_new.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#klt_new.ecore"", ""levilucio$SyVOLT$UMLRT2Kiltera_MM#metamodels#Kiltera.ecore""], [""levilucio$SyVOLT$eclipse_integration#examples#ExFamToPerson#Persons_Extended.ecore"", ""levilucio$SyVOLT$ExFamToPerson#Persons_Extended.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#Persons_Extended.ecore""], [""levilucio$SyVOLT$eclipse_integration#examples#families_to_persons#metamodels#Community.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#Community.ecore"", ""levilucio$SyVOLT$ATLTrans#metamodels#Community.ecore""], [""levilucio$SyVOLT$GM2AUTOSAR_MM#metamodels#Autosar.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#testData_GM2A#Autosar.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#autosarMM.ecore""], [""levilucio$SyVOLT$eclipse_integration#examples#ExFamToPerson#Families_Extended.ecore"", ""levilucio$SyVOLT$ExFamToPerson#Families_Extended.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#Families_Extended.ecore""], [""levilucio$SyVOLT$ATLTrans#metamodels#Household.ecore"", ""levilucio$SyVOLT$eclipse_integration#metamodels#Household.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#families_to_persons#metamodels#Household.ecore""], [""levilucio$SyVOLT$eclipse_integration#metamodels#Industrial.ecore"", ""levilucio$SyVOLT$eclipse_integration#examples#testData_GM2A#Industrial.ecore"", ""levilucio$SyVOLT$GM2AUTOSAR_MM#metamodels#Industrial.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
ksza/Bicycle-Shop;https://github.com/ksza/Bicycle-Shop;"[[""ksza$Bicycle-Shop$com.itu.mdd.nowheretravel.model#ex_class_8#ecore_with_ocl#travel.ecore"", ""ksza$Bicycle-Shop$com.itu.mdd.nowheretravel.model#model#travel.ecore""], [""ksza$Bicycle-Shop$dk.itu.mdd.nbs.model#model#nbs.ecore"", ""ksza$Bicycle-Shop$dk.itu.mdd.nbs.generator#src#metamodel#nbs.ecore""], [""ksza$Bicycle-Shop$dk.itu.mdd.soa.generator#bin#templates#soa.ecore"", ""ksza$Bicycle-Shop$dk.itu.mdd.soa.generator#src#templates#soa.ecore""]]";Different modules reuse the same meta-model;Versioning by explicit duplication;;Different modules reuse the same meta-model;Gen/bin is not gitignored;;Different modules reuse the same meta-model;Gen/bin is not gitignored;;A
mtaal/texo;https://github.com/mtaal/texo;"[[""mtaal$texo$org.eclipse.emf.texo.web.example#model#library.ecore"", ""mtaal$texo$org.eclipse.emf.texo.web.example#WebContent#WEB-INF#classes#org#eclipse#emf#texo#test#model#samples#library#library.ecore"", ""mtaal$texo$org.eclipse.emf.texo.web.example#src-gen#org#eclipse#emf#texo#test#model#samples#library#library.ecore""], [""mtaal$texo$org.eclipse.emf.texo.web.example#src-gen#org#eclipse#emf#texo#samples#sport#club#club.ecore"", ""mtaal$texo$org.eclipse.emf.texo.web.example#WebContent#WEB-INF#classes#org#eclipse#emf#texo#samples#sport#club#club.ecore""], [""mtaal$texo$org.eclipse.emf.texo.example1.rcp#src#org#eclipse#emf#texo#example1#rcp#persistence#model#music#music.ecore"", ""mtaal$texo$org.eclipse.emf.texo.example1.rcp#model#music.ecore""], [""mtaal$texo$org.eclipse.emf.texo.web.example#WebContent#WEB-INF#classes#org#eclipse#emf#texo#test#model#samples#travel#travel.ecore"", ""mtaal$texo$org.eclipse.emf.texo.web.example#src-gen#org#eclipse#emf#texo#test#model#samples#travel#travel.ecore""], [""mtaal$texo$org.eclipse.emf.texo.example1.rcp#model#identifiable.ecore"", ""mtaal$texo$org.eclipse.emf.texo.example1.rcp#src#org#eclipse#emf#texo#example1#rcp#persistence#model#identifiable#identifiable.ecore""]]";Gen/bin is not gitignored;Testing/benchmarking/exampling of tools;;Gen/bin is not gitignored;Testing/benchmarking/exampling of tools;;;;;A
fikovnik/ttc14-fixml-sigma;https://github.com/fikovnik/ttc14-fixml-sigma;"[[""fikovnik$ttc14-fixml-sigma$ttc14-fixml-extension-1#model#objlang.ecore"", ""fikovnik$ttc14-fixml-sigma$ttc14-fixml-extension-2#model#objlang.ecore"", ""fikovnik$ttc14-fixml-sigma$ttc14-fixml-base#model#objlang.ecore"", ""fikovnik$ttc14-fixml-sigma$ttc14-fixml-extension-3#model#objlang.ecore""], [""fikovnik$ttc14-fixml-sigma$ttc14-fixml-extension-2#model#xmlmm.ecore"", ""fikovnik$ttc14-fixml-sigma$ttc14-fixml-base#model#xmlmm.ecore"", ""fikovnik$ttc14-fixml-sigma$ttc14-fixml-extension-1#model#xmlmm.ecore""]]";Tutorial/assigments;;;Tutorial/assigments;;;;;;A
lolybc88/LinTra;https://github.com/lolybc88/LinTra;"[[""lolybc88$LinTra$Java2Graph_CaseStudy_BigMDEv2#java.ecore"", ""lolybc88$LinTra$atl2LinTra#files#java.ecore"", ""lolybc88$LinTra$CaseStudiesEpsilon#java.ecore"", ""lolybc88$LinTra$Java2Graph_CaseStudy_BigMDE#java.ecore"", ""lolybc88$LinTra$Public2Private#metamodel#java.ecore"", ""lolybc88$LinTra$EMF2LINDA#input#java.ecore"", ""lolybc88$LinTra$Java2Graph_CaseStudy#java.ecore""], [""lolybc88$LinTra$Java2Graph_CaseStudy_BigMDEv2#Graph.ecore"", ""lolybc88$LinTra$atl2LinTra#files#Graph.ecore"", ""lolybc88$LinTra$Java2Graph_CaseStudy#Graph.ecore"", ""lolybc88$LinTra$Java2Graph_CaseStudy_BigMDE#Graph.ecore""], [""lolybc88$LinTra$CaseStudiesEMFTVM#dblp#DBLP.ecore"", ""lolybc88$LinTra$EMF2LINDA#input#DBLP.ecore"", ""lolybc88$LinTra$DBLP_CaseStudy#DBLP.ecore""], [""lolybc88$LinTra$CaseStudiesEMFTVM#imdb#movies.ecore"", ""lolybc88$LinTra$EMF2LINDA#input#movies.ecore"", ""lolybc88$LinTra$IMDb_EcoreModProj#model#movies.ecore""], [""lolybc88$LinTra$EMF2LINDA#bin#metamodel#Ecore.ecore"", ""lolybc88$LinTra$EMF2LINDA#src#metamodel#Ecore.ecore""], [""lolybc88$LinTra$testABC#ABC.ecore"", ""lolybc88$LinTra$EMF2LINDA#input#ABC.ecore""], [""lolybc88$LinTra$CaseStudiesEMFTVM#dblp#ICMTAuthor.ecore"", ""lolybc88$LinTra$DBLP_CaseStudy#ICMTAuthor.ecore""], [""lolybc88$LinTra$linTraCodeGenerator#src#metamodel#ATL.ecore"", ""lolybc88$LinTra$atl2JavaSimpl#ATL.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
shasait/commentcodegen;https://github.com/shasait/commentcodegen;"[[""shasait$commentcodegen$de.hasait.eclipse.ccg.javag#ccg#jsm.ecore"", ""shasait$commentcodegen$de.hasait.eclipse.ccg.java.model#model#model.ecore""]]";Different modules reuse the same meta-model;;;Different modules reuse the same meta-model;;;;;;A
spillay/eTool;https://github.com/spillay/eTool;"[[""spillay$eTool$sp#com.dsleng.etool.models.egov#build#resources#main#model#EGov.ecore"", ""spillay$eTool$sp#com.dsleng.etool.models.egov#model#EGov.ecore"", ""spillay$eTool$Models#com.dsleng.etool.models.egov#model#EGov.ecore""]]";Different modules reuse the same meta-model;Unknown/missing information;;Different modules reuse the same meta-model;;;Different modules reuse the same meta-model;;;A
ISTIC-M2-ILa-GM/VideoGen;https://github.com/ISTIC-M2-ILa-GM/VideoGen;"[[""ISTIC-M2-ILa-GM$VideoGen$parser#src#main#resources#fr#istic#VideoGen.ecore"", ""ISTIC-M2-ILa-GM$VideoGen$parser#xtext-generation#fr.istic.videogen#model#generated#VideoGen.ecore""]]";Gen/bin is not gitignored;;;Gen/bin is not gitignored;;;;;;A
ts391/Earthquake;https://github.com/ts391/Earthquake;"[[""ts391$Earthquake$modules#rap#bundles#ecl#org.eclipse.rcptt.ecl.platform.ui.rap#model#commands.ecore"", ""ts391$Earthquake$ecl#plugins#org.eclipse.rcptt.ecl.platform.ui#model#commands.ecore""]]";Different modules reuse the same meta-model;;;Different modules reuse the same meta-model;;;;;;A
lunalixxi/AGSN;https://github.com/lunalixxi/AGSN;"[[""lunalixxi$AGSN$Model_transformation#resource#metamodels#AGSN.ecore"", ""lunalixxi$AGSN$Model_transformation#bin#metamodels#AGSN.ecore"", ""lunalixxi$AGSN$AGSN_sourcecode#AGSN#model#AGSN.ecore""], [""lunalixxi$AGSN$Model_transformation#bin#metamodels#ecore.ecore"", ""lunalixxi$AGSN$Model_transformation#resource#metamodels#ecore.ecore""], [""lunalixxi$AGSN$Model_transformation#bin#metamodels#dcase.ecore"", ""lunalixxi$AGSN$Model_transformation#resource#metamodels#dcase.ecore""], [""lunalixxi$AGSN$Model_transformation#bin#metamodels#dcase.xsd.ecore"", ""lunalixxi$AGSN$Model_transformation#resource#metamodels#dcase.xsd.ecore""]]";Gen/bin is not gitignored;;;Gen/bin is not gitignored;;;;;;A
jason-lang/jason-eclipse-plugin;https://github.com/jason-lang/jason-eclipse-plugin;"[[""jason-lang$jason-eclipse-plugin$jasonide.xtext.mas2j#jasonide#xtext#mas2j#Mas2j.ecore"", ""jason-lang$jason-eclipse-plugin$jasonide.xtext.mas2j#src-gen#jasonide#xtext#mas2j#Mas2j.ecore""]]";Gen/bin is not gitignored;;;Gen/bin is not gitignored;;;;;;A
mde-optimiser/mde_bench;https://github.com/mde-optimiser/mde_bench;"[[""mde-optimiser$mde_bench$problems#ttc2016_cra#solutions#linux#mdeo#app#src#uk#ac#kcl#mdeoptimiser#gcm2017#models#architectureCRA.ecore"", ""mde-optimiser$mde_bench$problems#ttc2016_cra#solutions#windows#mdeo#app#src#uk#ac#kcl#mdeoptimiser#gcm2017#models#architectureCRA.ecore"", ""mde-optimiser$mde_bench$problems#ttc2016_cra#inputs#architectureCRA.ecore""]]";Testing/benchmarking/exampling of tools;Tutorial/assigments;;Testing/benchmarking/exampling of tools;;;Tutorial/assigments;;;A
JoHae/de.htwg.seapal.regatta;https://github.com/JoHae/de.htwg.seapal.regatta;"[[""JoHae$de.htwg.seapal.regatta$generaterCode#de.htwg.seapal.components#src-gen#de#htwg#seapal#components#Component.ecore"", ""JoHae$de.htwg.seapal.regatta$generaterCode#de.htwg.seapal.components#bin#de#htwg#seapal#components#Component.ecore""]]";Gen/bin is not gitignored;;;Gen/bin is not gitignored;;;;;;A
cfollet/projet_idm;https://github.com/cfollet/projet_idm;"[[""cfollet$projet_idm$models#StateMachine.ecore"", ""cfollet$projet_idm$metaModels#StateMachine.ecore""]]";Tutorial/assigments;;;Tutorial/assigments;;;;;;A
fcoulon/prism;https://github.com/fcoulon/prism;"[[""fcoulon$prism$languageWB#rascal-ecore#src#lang#ecore#tests#MyFSM.ecore"", ""fcoulon$prism$languageWB#myfsm.model#model#myfsm.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
mpizenberg-archived/GLS_PROJET;https://github.com/mpizenberg-archived/GLS_PROJET;"[[""mpizenberg-archived$GLS_PROJET$Sources#fr.enseeiht.metamodels#PetriNet.ecore"", ""mpizenberg-archived$GLS_PROJET$Sources#fr.enseeiht.petrinet.t2m#src-gen#fr#enseeiht#PETRI.ecore"", ""mpizenberg-archived$GLS_PROJET$Sources#fr.enseeiht.petrinet.t2m#bin#fr#enseeiht#PETRI.ecore""], [""mpizenberg-archived$GLS_PROJET$Sources#fr.enseeiht.pdlx.t2m#src-gen#fr#enseeiht#PDLX.ecore"", ""mpizenberg-archived$GLS_PROJET$Sources#fr.enseeiht.pdlx.t2m#bin#fr#enseeiht#PDLX.ecore""]]";Gen/bin is not gitignored;;;Gen/bin is not gitignored;;;;;;A
Osbern/ISTIC_M2GL;https://github.com/Osbern/ISTIC_M2GL;"[[""Osbern$ISTIC_M2GL$HelloWorld_kermeta#model#tableur_visitable.ecore"", ""Osbern$ISTIC_M2GL$HelloWorld_kermeta#model#generatedModel2.ecore"", ""Osbern$ISTIC_M2GL$HelloWorld_kermeta#model#tableur_visitable_aspects.ecore""]]";Tutorial/assigments;;;Tutorial/assigments;;;;;;A
Alisu/Master_2;https://github.com/Alisu/Master_2;"[[""Alisu$Master_2$IDM#tp.metaprogamming.memo#model#memo.ecore"", ""Alisu$Master_2$Meta-prog#MDT-workspace#tp.metaprogramming.memo#model#memo.ecore""]]";Different versions of the same project;;;Different versions of the same project;;;;;;A
cgmora12/AG;https://github.com/cgmora12/AG;"[[""cgmora12$AG$src#AG#metamodels#Openapi.ecore"", ""cgmora12$AG$RunningExample#AG_stopsmetro#generated#Openapi.ecore""], [""cgmora12$AG$src#AG#metamodels#Table.ecore"", ""cgmora12$AG$RunningExample#AG_stopsmetro#generated#Table.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
veriatl/VeriATL;https://github.com/veriatl/VeriATL;"[[""veriatl$VeriATL$fr.emn.atlanmod.veriatl.casestudy.base#HSM2FSM_GUI#Source#FSM.ecore"", ""veriatl$VeriATL$fr.emn.atlanmod.veriatl.casestudy.base#HSM2FSM_GUI#Source#HSM.ecore""]]";Testing/benchmarking/exampling of tools;;;Testing/benchmarking/exampling of tools;;;;;;A
