repo,metamodel,original
magnusjerre/MasterThesisCodeFinal,"['magnusjerre$MasterThesisCodeFinal$WireframeToJavaFX-master#screenDecorator#model#screenDecorator.ecore', 'magnusjerre$MasterThesisCodeFinal$WireframeToJavaFX-master#wireframing-tutorial#toduka#toduka.ecore', 'magnusjerre$MasterThesisCodeFinal$WireframeToJavaFX-master#wireframing-tutorial#cake#detailedrecipe.ecore', 'magnusjerre$MasterThesisCodeFinal$WireframeToJavaFX-master#wireframing-tutorial#backup ecore#muniapp.ecore']","['frel$WireframeToJavaFX$screenDecorator#model#screenDecorator.ecore', 'frel$WireframeToJavaFX$wireframing-tutorial#toduka#toduka.ecore', 'frel$WireframeToJavaFX$wireframing-tutorial#cake#detailedrecipe.ecore', 'frel$WireframeToJavaFX$wireframing-tutorial#backup ecore#muniapp.ecore']"
cbrun/emf-compare,"['cbrun$emf-compare$plugins#org.eclipse.emf.compare.tests#inputs#composite#order#gmfgraph.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.mpatch.example#library#library_karl.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.tests#inputs#element#addedElement#simple2#basic1.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.mpatch.example#library#library_eve.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.tests#inputs#element#addedElement#simple2#basic1-3.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.diff#model#diff.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.example.library#model#writers.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.example.library#model#books.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.tests#inputs#composite#order#gmfgraph_unordered.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.uml2#model#uml2diff.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.tests#inputs#element#addedElement#simple#basic1.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.epatch#model-gen#Epatch.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.mpatch.example#library#library.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.mpatch.emfdiff2mpatch.generic#model#symrefs.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.match#model#match.ecore']","['cbrun$emf-compare$plugins#org.eclipse.emf.compare.tests#inputs#composite#order#gmfgraph_unordered.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.mpatch.example#library#library.ecore', 'radtek$rrcomssys-team-5$Executables#eclipse#plugins#org.eclipse.emf.compare.source_0.8.1.v200809170822#src#org.eclipse.emf.compare.match_0.8.1.v200809170822#model#match.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.mpatch.example#library#library.ecore', 'radtek$rrcomssys-team-5$Executables#eclipse#plugins#org.eclipse.emf.compare.source_0.8.1.v200809170822#src#org.eclipse.emf.compare.match_0.8.1.v200809170822#model#match.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.diff#model#diff.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.example.library#model#writers.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.example.library#model#books.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.tests#inputs#composite#order#gmfgraph_unordered.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.uml2#model#uml2diff.ecore', 'radtek$rrcomssys-team-5$Executables#eclipse#plugins#org.eclipse.emf.compare.source_0.8.1.v200809170822#src#org.eclipse.emf.compare.match_0.8.1.v200809170822#model#match.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.epatch#model-gen#Epatch.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.mpatch.example#library#library.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.mpatch.emfdiff2mpatch.generic#model#symrefs.ecore', 'cbrun$emf-compare$plugins#org.eclipse.emf.compare.match#model#match.ecore']"
kit-hua/ETFA2019,['kit-hua$ETFA2019$aml_models#model#CAEX215.ecore'],['amlModeling$amlMetaModel$anyType_Solution_20160126#model#2.15#caex_wao.ecore']
eventB-Soton/iUML_B_StateMachineDiagrams,['eventB-Soton$iUML_B_StateMachineDiagrams$ac.soton.eventb.statemachines#model#statemachines.ecore'],['mgt1g13$iUML-B$ac.soton.eventb.statemachines#model#statemachines.ecore']
loonwerks/formal-methods-workbench,['loonwerks$formal-methods-workbench$tools#simulator#edu.uah.rsesc.aadlsimulator.xtext#model#generated#InputConstraint.ecore'],['smaccm$smaccm$fm-workbench#simulator#edu.uah.rsesc.aadlsimulator.xtext#model#generated#InputConstraint.ecore']
baloghtimi/effective-permission-batch,['baloghtimi$effective-permission-batch$Policy Language#org.mondo.collaboration.policy#model#generated#Rules.ecore'],['baloghtimi$Onlab$Policy Language#org.mondo.collaboration.policy#model#generated#Rules.ecore']
harveyalferez/harveyalferez.github.io,"['harveyalferez$harveyalferez.github.io$dynamicevolutionservcomp#models#bpmn.ecore', 'harveyalferez$harveyalferez.github.io$dynamicevolutionservcomp#models#openome_model.ecore']","['jreimone$refactory$Registrations#Mappings#org.emftext.refactoring.mappings.stp.bpmn#metamodel#bpmn.ecore', 'viatra$EMF-IncQuery-Examples$openome#instances#openome_model.ecore']"
RvonMassow/Xrest,"['RvonMassow$Xrest$org.eclipse.xtext.services#src-gen#org#eclipse#xtext#services#Services.ecore', 'RvonMassow$Xrest$org.eclipse.xtext.example.domainmodel#model#Domainmodel.ecore']","['RvonMassow$Xrest$org.eclipse.xtext.services#src-gen#org#eclipse#xtext#services#Services.ecore', 'zrrk$xtext-utils.unittesting$examples#org.eclipse.xtext.example.domainmodel#src-gen#org#eclipse#xtext#example#domainmodel#Domainmodel.ecore']"
DuaneNielsen/APMFieldDev,"['DuaneNielsen$APMFieldDev$setups#models#PDE.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Projects.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.base#model#legacy#preferences.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Targlets.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.setup.targlets#model#SetupTarglets.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Git.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.preferences#model#Preferences.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.workingsets#model#WorkingSets.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.setup.workbench#model#Workbench.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.base#model#legacy#projectconfig.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.base#model#Base.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.setup.git#model#Git.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.predicates#model#Predicates.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.setup.p2#model#SetupP2.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.base#model#legacy#workingsets.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.setup.projects#model#Projects.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.setup#model#Setup.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.base#model#legacy#predicates.ecore', 'DuaneNielsen$APMFieldDev$setups#models#SetupTarglets.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Resources.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.setup.mylyn#model#Mylyn.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Predicates.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.targlets#model#Targlets.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.setup.pde#model#PDE.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Workbench.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.p2#model#P2.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.setup.sync#model#SetupSync.ecore', 'DuaneNielsen$APMFieldDev$setups#models#WorkingSets.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.projectconfig#model#ProjectConfig.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.base#model#legacy#setup.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.resources#model#Resources.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Mylyn.ecore']","['peterkir$org.eclipse.oomph$plugins#org.eclipse.oomph.setup.pde#model#PDE.ecore', 'peterkir$org.eclipse.oomph$setups#models#Projects.ecore', 'peterkir$org.eclipse.oomph$plugins#org.eclipse.oomph.base#model#legacy#preferences.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Targlets.ecore', 'peterkir$org.eclipse.oomph$plugins#org.eclipse.oomph.setup.targlets#model#SetupTarglets.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.setup.git#model#Git.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.preferences#model#Preferences.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.base#model#legacy#workingsets.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Workbench.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.projectconfig#model#ProjectConfig.ecore', 'DuaneNielsen$APMFieldDev$plugins#org.eclipse.oomph.base#model#Base.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.setup.git#model#Git.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.predicates#model#Predicates.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.setup.p2#model#SetupP2.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.base#model#legacy#workingsets.ecore', 'peterkir$org.eclipse.oomph$setups#models#Projects.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.setup#model#Setup.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.predicates#model#Predicates.ecore', 'peterkir$org.eclipse.oomph$plugins#org.eclipse.oomph.setup.targlets#model#SetupTarglets.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.resources#model#Resources.ecore', 'peterkir$org.eclipse.oomph$setups#models#Mylyn.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.predicates#model#Predicates.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Targlets.ecore', 'peterkir$org.eclipse.oomph$plugins#org.eclipse.oomph.setup.pde#model#PDE.ecore', 'DuaneNielsen$APMFieldDev$setups#models#Workbench.ecore', 'peterkir$org.eclipse.oomph$plugins#org.eclipse.oomph.p2#model#P2.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.setup.sync#model#SetupSync.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.base#model#legacy#workingsets.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.projectconfig#model#ProjectConfig.ecore', 'peterkir$org.eclipse.oomph$plugins#org.eclipse.oomph.base#model#legacy#setup.ecore', 'Serranya$org.eclipse.oomph$plugins#org.eclipse.oomph.resources#model#Resources.ecore', 'peterkir$org.eclipse.oomph$setups#models#Mylyn.ecore']"
SOM-Research/collaboro,"['SOM-Research$collaboro$examples#fr.inria.atlanmod.collaboro.examples.aadl#model#aadl2.ecore', 'SOM-Research$collaboro$examples#fr.inria.atlanmod.collaboro.examples.aadl#model#aadlba.ecore', 'SOM-Research$collaboro$plugins#fr.inria.atlanmod.collaboro.web.servlets#WebContent#WEB-INF#backup#aadlba.ecore', 'SOM-Research$collaboro$examples#fr.inria.atlanmod.collaboro.examples.aadl#model#aadel2-instance.ecore', 'SOM-Research$collaboro$plugins#fr.inria.atlanmod.collaboro.web.servlets#WebContent#WEB-INF#backup#aadl2.ecore']","['rsanjai$sr-o2core$org.osate.aadl2#src#org#osate#aadl2#impl#aadl2.ecore', 'rsanjai$sr-o2ba$org.osate.ba#model#aadlba.ecore', 'rsanjai$sr-o2ba$org.osate.ba#model#aadlba.ecore', 'rsanjai$sr-o2core$org.osate.aadl2#src#org#osate#aadl2#instance#impl#instance.ecore', 'rsanjai$sr-o2core$org.osate.aadl2#src#org#osate#aadl2#impl#aadl2.ecore']"
