repo,metamodels,originals,originals_links
https://github.com/georghinkel/ttc2017smartGrids,georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#COSEM.ecore || georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#model#Gluemodel.ecore || georghinkel$ttc2017smartGrids$solutions#ModelJoin#src#main#java#CIM#impl#CIM.ecore || georghinkel$ttc2017smartGrids$metamodels#schema.ecore || georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#schema.ecore || georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#originalModels#61850.ecore || georghinkel$ttc2017smartGrids$solutions#ModelJoin#src#main#java#COSEM#impl#COSEM.ecore || georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.src#src#gluemodel#impl#gluemodel.ecore || georghinkel$ttc2017smartGrids$metamodels#61850.ecore || georghinkel$ttc2017smartGrids$metamodels#COSEM.ecore || georghinkel$ttc2017smartGrids$solutions#ModelJoin#metamodels#schema.ecore || georghinkel$ttc2017smartGrids$solutions#ModelJoin#metamodels#COSEM.ecore || georghinkel$ttc2017smartGrids$solutions#eMoflon#rgse.ttc17.metamodels.changes#changes#changeSequence1#schema.ecore || georghinkel$ttc2017smartGrids$solutions#ModelJoin#metamodels#61850.ecore,NMFCode$NMF$Transformations#Tests#CodeGenerationTests#COSEM.ecore || SvenPeldszus$rgse.ttc17.emoflon.tgg$rgse.ttc17.metamodels.src#model#Gluemodel.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#schema.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#schema.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#schema.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#61850.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#COSEM.ecore || SvenPeldszus$rgse.ttc17.emoflon.tgg$rgse.ttc17.metamodels.src#model#Gluemodel.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#61850.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#COSEM.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#schema.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#COSEM.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#schema.ecore || NMFCode$NMF$Transformations#Tests#CodeGenerationTests#61850.ecore,https://github.com/NMFCode/NMF || https://github.com/SvenPeldszus/rgse.ttc17.emoflon.tgg || https://github.com/NMFCode/NMF || https://github.com/NMFCode/NMF || https://github.com/NMFCode/NMF || https://github.com/NMFCode/NMF || https://github.com/NMFCode/NMF || https://github.com/SvenPeldszus/rgse.ttc17.emoflon.tgg || https://github.com/NMFCode/NMF || https://github.com/NMFCode/NMF || https://github.com/NMFCode/NMF || https://github.com/NMFCode/NMF || https://github.com/NMFCode/NMF || https://github.com/NMFCode/NMF
https://github.com/jiangxin/freemind-mmx,jiangxin$freemind-mmx$plugins#wsl#src#onekin#Freemind.ecore,ryoon$freemind$plugins#wsl#src#onekin#Freemind.ecore,https://github.com/ryoon/freemind
https://github.com/IBMAccount/StellaCommerce,IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.member.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.marketing.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.oagis9.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#com.ibm.commerce.oagis9.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.wallet.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.price.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.contract.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.catalog.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.installment.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.subscription.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.foundation.common.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#com.ibm.commerce.payment.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#com.ibm.commerce.member.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.promotion.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.giftcenter.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.inventory.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.store.facade.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.oagis9.datatypes.codelists.ecore || IBMAccount$StellaCommerce$WebServicesRouter#com.ibm.commerce.oagis9.datatypes.codelists.ecore || IBMAccount$StellaCommerce$WebServicesRouter#com.ibm.commerce.foundation.datatypes.ecore || IBMAccount$StellaCommerce$WebServicesRouter#WebContent#component-services#ecore#com.ibm.commerce.order.facade.datatypes.ecore,damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.member.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.marketing.facade.datatypes.ecore || damenac$puzzle$examples#empirical-study#puzzle.empirical.study#githubmetamodels#com.ibm.commerce.oagis9.datatypes.ecore || damenac$puzzle$examples#empirical-study#puzzle.empirical.study#githubmetamodels#com.ibm.commerce.oagis9.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.wallet.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.price.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.contract.facade.datatypes.ecore || damenac$puzzle$examples#empirical-study#puzzle.empirical.study#githubmetamodels#com.ibm.commerce.catalog.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.installment.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.subscription.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.foundation.common.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.payment.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.member.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.promotion.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.giftcenter.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.inventory.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.store.facade.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.oagis9.datatypes.codelists.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.oagis9.datatypes.codelists.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.foundation.datatypes.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#com.ibm.commerce.order.facade.datatypes.ecore,https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle
https://github.com/ipa-nhg/ros-model-dev,ipa-nhg$ros-model-dev$plugins#de.fraunhofer.ipa.ros#model#ros.ecore,ipa320$ros-model$plugins#de.fraunhofer.ipa.ros#model#ros.ecore,https://github.com/ipa320/ros-model
https://github.com/kasperdokter/extensible-coordination-tools,kasperdokter$extensible-coordination-tools$src#ea-core#org.ect.ea#model#ea.ecore || kasperdokter$extensible-coordination-tools$src#ea-core#org.ect.ea.extensions.costs#model#costs.ecore || kasperdokter$extensible-coordination-tools$src#convert#org.ect.convert.umlad2reo#src#model#CMOF.ecore || kasperdokter$extensible-coordination-tools$src#ea-core#org.ect.ea.extensions.portnames#model#portnames.ecore || kasperdokter$extensible-coordination-tools$src#reo-core#org.ect.reo.mcrl2#model#mcrl2.ecore || kasperdokter$extensible-coordination-tools$src#ea-core#org.ect.ea.extensions.costs#model#ea-costs.ecore || kasperdokter$extensible-coordination-tools$src#convert#org.ect.convert.umlad2reo#src#model#UML.ecore || kasperdokter$extensible-coordination-tools$src#convert#org.ect.convert.umlad2reo#src#model#UML_21.ecore,behnaaz$extensible-coordination-tools$src#ea-core#org.ect.ea#model#ea.ecore || behnaaz$extensible-coordination-tools$src#ea-core#org.ect.ea.extensions.costs#model#costs.ecore || DylanYu$smatrt$cases#JarUML#generated#JavaUML#model#CMOF.ecore || ReoLanguage$ECT$src#ea-core#org.ect.ea.extensions.portnames#model#portnames.ecore || ReoLanguage$ECT$src#reo-core#org.ect.reo.mcrl2#model#mcrl2.ecore || behnaaz$extensible-coordination-tools$src#ea-core#org.ect.ea.extensions.costs#model#ea-costs.ecore || creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#model#UML.ecore || creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.uml#model#UML.ecore,https://github.com/behnaaz/extensible-coordination-tools || https://github.com/behnaaz/extensible-coordination-tools || https://github.com/DylanYu/smatrt || https://github.com/ReoLanguage/ECT || https://github.com/ReoLanguage/ECT || https://github.com/behnaaz/extensible-coordination-tools || https://github.com/creckord/org.eclipse.uml2 || https://github.com/creckord/org.eclipse.uml2
https://github.com/hooptie45/FlexGen,hooptie45$FlexGen$flexgen#test#metamodel_roundtrip_test#houseMetamodel.ecore || hooptie45$FlexGen$flexgen#pkg#flexgen-0.0.1#test#metamodel_roundtrip_test#houseMetamodel.ecore,mthiede$rgen$test#metamodel_roundtrip_test#houseMetamodel.ecore || mthiede$rgen$test#metamodel_roundtrip_test#houseMetamodel.ecore,https://github.com/mthiede/rgen || https://github.com/mthiede/rgen
https://github.com/crossminer/scava,crossminer$scava$metric-platform#platform#org.eclipse.scava.platform#src#org#eclipse#scava#platform#factoids#factoids.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.contentclassesbugzilla#src#org#eclipse#scava#metricprovider#trans#bugs#contentclasses#model#bugs_content_classes_trans_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.historic.bugs.emotions#src#org#eclipse#scava#metricprovider#historic#bugs#emotions#model#bugs_emotions_historic_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.trans.bugs.activeusers#src#org#eclipse#scava#metricprovider#trans#bugs#activeusers#model#bugs_active_users_trans_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.historic.bugs.requestsreplies#src#org#eclipse#scava#metricprovider#historic#bugs#requestsreplies#model#bugs_requestsreplies_historic_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.trans.newsgroups.sentiment#src#org#eclipse#scava#metricprovider#trans#newsgroups#sentiment#model#newsgroups_sentiment_trans_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.contentclassesnntp#src#org#eclipse#scava#metricprovider#trans#newsgroups#contentclasses#model#newsgroups_content_classes_trans_metric.ecore || crossminer$scava$metric-platform#platform-extensions#org.eclipse.scava.platform.metricmanager.rascal#src#org#eclipse#scava#metricprovider#rascal#trans#model#RascalMetrics.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.historic.bugs.bugs#src#org#eclipse#scava#metricprovider#historic#bugs#bugs#model#bugs_bugs_historic_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.historic.bugs.severitybugstatus#src#org#eclipse#scava#metricprovider#historic#bugs#severitybugstatus#model#bugs_severity_historic_metric.ecore || crossminer$scava$metric-platform#platform#org.eclipse.scava.repository.model#src#org#eclipse#scava#repository#model#crossmeter.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.trans.activeusers#src#org#eclipse#scava#metricprovider#trans#newsgroups#activeusers#model#newsgroups_active_users_trans_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.trans.commits#src#org#eclipse#scava#metricprovider#trans#commits#model#commits.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.historic.numberofresolvedclosedbugzillabugs#src#org#eclipse#scava#metricprovider#historic#bugs#status#model#bugs_status_historic_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.historic.bugs.responsetime#src#org#eclipse#scava#metricprovider#historic#bugs#responsetime#model#bugs_responsetime_historic_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.trans.bugs.emotions#src#org#eclipse#scava#metricprovider#trans#bugs#emotions#model#bugs_emotions_trans_metric.ecore || crossminer$scava$metric-platform#platform-extensions#org.eclipse.scava.repository.model.eclipse#src#org#eclipse#scava#repository#model#eclipse#eclipse.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.trans.newsgroups.emotions#src#org#eclipse#scava#metricprovider#trans#newsgroups#emotions#model#newsgroups_emotions_trans_metric.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.trans.newsgroups.threads#src#org#eclipse#scava#metricprovider#trans#newsgroups#threads#model#newsgroups_threads_trans_metric.ecore || crossminer$scava$metric-platform#platform-extensions#org.eclipse.scava.repository.model.github#src#org#eclipse#scava#repository#model#github#github.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.historic.newsgroups.emotions#src#org#eclipse#scava#metricprovider#historic#newsgroups#emotions#model#newsgroups_emotions_historic_metric.ecore || crossminer$scava$metric-platform#platform-extensions#org.eclipse.scava.repository.model.sourceforge#src#org#eclipse#scava#repository#model#sourceforge#sourceforge.ecore || crossminer$scava$metric-platform#platform-extensions#org.eclipse.scava.repository.model.googlecode#src#org#eclipse#scava#repository#model#googlecode#googlecode.ecore || crossminer$scava$metric-platform#platform-extensions#org.eclipse.scava.repository.model.cc.nntp#src#org#eclipse#scava#repository#model#cc#nntp#nntp.ecore || crossminer$scava$metric-platform#platform-extensions#org.eclipse.scava.repository.model.cc.zendesk#src#org#eclipse#scava#repository#model#cc#zendesk#Zendesk.ecore || crossminer$scava$metric-platform#platform-extensions#org.eclipse.scava.platform.communicationchannel.nntp.local#src#org#eclipse#scava#platform#communicationchannel#nntp#local#model#messages.ecore || crossminer$scava$metric-platform#platform-extensions#org.eclipse.scava.repository.model.redmine#src#org#eclipse#scava#repository#model#redmine#redmine.ecore || crossminer$scava$metric-platform#metric-providers#org.eclipse.scava.metricprovider.trans.severityclassification#src#org#eclipse#scava#metricprovider#trans#severityclassification#model#severityclassification_trans_metric.ecore,ossmeter$ossmeter$platform#org.ossmeter.platform#src#org#ossmeter#platform#factoids#factoids.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.contentclassesbugzilla#src#org#ossmeter#metricprovider#trans#bugs#contentclasses#model#bugs_content_classes_trans_metric.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.historic.bugs.emotions#src#org#ossmeter#metricprovider#historic#bugs#emotions#model#bugs_emotions_historic_metric.ecore || ossmeter$ossmeter$metric-providers#org.ossmeter.metricprovider.trans.bugs.activeusers#src#org#ossmeter#metricprovider#trans#bugs#activeusers#model#bugs_active_users_trans_metric.ecore || ossmeter$ossmeter$metric-providers#org.ossmeter.metricprovider.historic.bugs.requestsreplies#src#org#ossmeter#metricprovider#historic#bugs#requestsreplies#model#bugs_requestsreplies_historic_metric.ecore || ossmeter$ossmeter$metric-providers#org.ossmeter.metricprovider.trans.newsgroups.sentiment#src#org#ossmeter#metricprovider#trans#newsgroups#sentiment#model#newsgroups_sentiment_trans_metric.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.contentclassesnntp#src#org#ossmeter#metricprovider#trans#newsgroups#contentclasses#model#newsgroups_content_classes_trans_metric.ecore || ossmeter$ossmeter$platform-extensions#org.ossmeter.platform.metricmanager.rascal#src#org#ossmeter#metricprovider#rascal#trans#model#RascalMetrics.ecore || ossmeter$ossmeter$metric-providers#org.ossmeter.metricprovider.historic.bugs.bugs#src#org#ossmeter#metricprovider#historic#bugs#bugs#model#bugs_bugs_historic_metric.ecore || ossmeter$ossmeter$metric-providers#org.ossmeter.metricprovider.historic.bugs.severitybugstatus#src#org#ossmeter#metricprovider#historic#bugs#severitybugstatus#model#bugs_severity_historic_metric.ecore || crossminer$crossminer$platform#org.ossmeter.repository.model#src#org#ossmeter#repository#model#ossmeter.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.trans.activeusers#src#org#ossmeter#metricprovider#trans#newsgroups#activeusers#model#newsgroups_active_users_trans_metric.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.trans.commits#src#org#ossmeter#metricprovider#trans#commits#model#commits.ecore || ossmeter$ossmeter$metric-providers#org.ossmeter.metricprovider.historic.numberofresolvedclosedbugzillabugs#src#org#ossmeter#metricprovider#historic#bugs#status#model#bugs_status_historic_metric.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.historic.bugs.responsetime#src#org#ossmeter#metricprovider#historic#bugs#responsetime#model#bugs_responsetime_historic_metric.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.overallemotionsbugzilla#src#org#ossmeter#metricprovider#trans#bugs#emotions#model#bugs_emotions_trans_metric.ecore || ossmeter$ossmeter$platform-extensions#org.ossmeter.repository.model.eclipse#src#org#ossmeter#repository#model#eclipse#eclipse.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.overallemotionsnntp#src#org#ossmeter#metricprovider#trans#newsgroups#emotions#model#newsgroups_emotions_trans_metric.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.trans.threads#src#org#ossmeter#metricprovider#trans#newsgroups#threads#model#newsgroups_threads_trans_metric.ecore || ossmeter$ossmeter$platform-extensions#org.ossmeter.repository.model.github#src#org#ossmeter#repository#model#github#github.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.historic.newsgroups.emotions#src#org#ossmeter#metricprovider#historic#newsgroups#emotions#model#newsgroups_emotions_historic_metric.ecore || ossmeter$ossmeter$platform-extensions#org.ossmeter.repository.model.sourceforge#src#org#ossmeter#repository#model#sourceforge#sourceforge.ecore || ossmeter$ossmeter$platform-extensions#org.ossmeter.repository.model.googlecode#src#org#ossmeter#repository#model#googlecode#googlecode.ecore || ossmeter$ossmeter$platform-extensions#org.ossmeter.repository.model.cc.nntp#src#org#ossmeter#repository#model#cc#nntp#nntp.ecore || ossmeter$ossmeter$platform-extensions#org.ossmeter.repository.model.cc.zendesk#src#org#ossmeter#repository#model#cc#zendesk#Zendesk.ecore || crossminer$crossminer$platform-extensions#org.ossmeter.platform.communicationchannel.nntp.local#src#org#ossmeter#platform#communicationchannel#nntp#local#model#messages.ecore || ossmeter$ossmeter$platform-extensions#org.ossmeter.repository.model.redmine#src#org#ossmeter#repository#model#redmine#redmine.ecore || crossminer$crossminer$metric-providers#org.ossmeter.metricprovider.trans.severityclassification#src#org#ossmeter#metricprovider#trans#severityclassification#model#severityclassification_trans_metric.ecore,https://github.com/ossmeter/ossmeter || https://github.com/crossminer/crossminer || https://github.com/crossminer/crossminer || https://github.com/ossmeter/ossmeter || https://github.com/ossmeter/ossmeter || https://github.com/ossmeter/ossmeter || https://github.com/crossminer/crossminer || https://github.com/ossmeter/ossmeter || https://github.com/ossmeter/ossmeter || https://github.com/ossmeter/ossmeter || https://github.com/crossminer/crossminer || https://github.com/crossminer/crossminer || https://github.com/crossminer/crossminer || https://github.com/ossmeter/ossmeter || https://github.com/crossminer/crossminer || https://github.com/crossminer/crossminer || https://github.com/ossmeter/ossmeter || https://github.com/crossminer/crossminer || https://github.com/crossminer/crossminer || https://github.com/ossmeter/ossmeter || https://github.com/crossminer/crossminer || https://github.com/ossmeter/ossmeter || https://github.com/ossmeter/ossmeter || https://github.com/ossmeter/ossmeter || https://github.com/ossmeter/ossmeter || https://github.com/crossminer/crossminer || https://github.com/ossmeter/ossmeter || https://github.com/crossminer/crossminer
https://github.com/iac-isabella/Groove,iac-isabella$Groove$Groove-codigo#Final#resources#groove.ecore || iac-isabella$Groove$Groove-codigo#Final#resources#Ecore.ecore,rgankema$CFSL$cfsl#target#classes#groove.ecore || olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,https://github.com/rgankema/CFSL || https://github.com/olegsergeyev/lab
