cluster,original,original_path,duplicate,duplicate_path,affected_elements,original_size,duplicate_size,affected_annotations,original_size_no_annotations,duplicate_size_no_annotations,ADD-EAnnotation,ADD-EAttribute,ADD-EClass,ADD-EDataType,ADD-EEnum,ADD-EEnumLiteral,ADD-EGenericType,ADD-EObject,ADD-EOperation,ADD-EPackage,ADD-EParameter,ADD-EReference,ADD-EStringToStringMapEntry,ADD-ETypeParameter,ADD-ResourceAttachment.EAnnotation,ADD-ResourceAttachment.EClass,ADD-ResourceAttachment.EDataType,ADD-ResourceAttachment.EPackage,CHANGE-EAnnotation.references,CHANGE-EAnnotation.source,CHANGE-EAttribute.changeable,CHANGE-EAttribute.defaultValueLiteral,CHANGE-EAttribute.derived,CHANGE-EAttribute.eType,CHANGE-EAttribute.iD,CHANGE-EAttribute.lowerBound,CHANGE-EAttribute.name,CHANGE-EAttribute.ordered,CHANGE-EAttribute.transient,CHANGE-EAttribute.unique,CHANGE-EAttribute.unsettable,CHANGE-EAttribute.upperBound,CHANGE-EAttribute.volatile,CHANGE-EClass.abstract,CHANGE-EClass.eSuperTypes,CHANGE-EClass.instanceClassName,CHANGE-EClass.instanceTypeName,CHANGE-EClass.interface,CHANGE-EClass.name,CHANGE-EDataType.instanceClassName,CHANGE-EDataType.instanceTypeName,CHANGE-EDataType.name,CHANGE-EDataType.serializable,CHANGE-EEnum.instanceClassName,CHANGE-EEnum.instanceTypeName,CHANGE-EEnum.name,CHANGE-EEnumLiteral.literal,CHANGE-EEnumLiteral.name,CHANGE-EEnumLiteral.value,CHANGE-EGenericType.eClassifier,CHANGE-EGenericType.eTypeParameter,CHANGE-EOperation.eExceptions,CHANGE-EOperation.eType,CHANGE-EOperation.lowerBound,CHANGE-EOperation.name,CHANGE-EOperation.ordered,CHANGE-EOperation.unique,CHANGE-EOperation.upperBound,CHANGE-EPackage.name,CHANGE-EPackage.nsPrefix,CHANGE-EPackage.nsURI,CHANGE-EParameter.eType,CHANGE-EParameter.lowerBound,CHANGE-EParameter.name,CHANGE-EParameter.ordered,CHANGE-EParameter.unique,CHANGE-EParameter.upperBound,CHANGE-EReference.changeable,CHANGE-EReference.containment,CHANGE-EReference.defaultValueLiteral,CHANGE-EReference.derived,CHANGE-EReference.eKeys,CHANGE-EReference.eOpposite,CHANGE-EReference.eType,CHANGE-EReference.lowerBound,CHANGE-EReference.name,CHANGE-EReference.ordered,CHANGE-EReference.resolveProxies,CHANGE-EReference.transient,CHANGE-EReference.unique,CHANGE-EReference.unsettable,CHANGE-EReference.upperBound,CHANGE-EReference.volatile,CHANGE-EStringToStringMapEntry.key,CHANGE-EStringToStringMapEntry.value,DELETE-EAnnotation,DELETE-EAttribute,DELETE-EClass,DELETE-EDataType,DELETE-EEnum,DELETE-EEnumLiteral,DELETE-EGenericType,DELETE-EOperation,DELETE-EPackage,DELETE-EParameter,DELETE-EReference,DELETE-EStringToStringMapEntry,DELETE-ETypeParameter,DELETE-ResourceAttachment.EPackage,MOVE-EAttribute,MOVE-EClass,MOVE-EDataType,MOVE-EEnum,MOVE-EEnumLiteral,MOVE-EGenericType,MOVE-EOperation,MOVE-EPackage,MOVE-EReference,repo,repo_name,DELETE-EObject,scenario
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,3807,dwagelaar$UML2CaseStudies$uml2cs-transformations#metamodels#Ecore.ecore,152,476,349,48,382,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,inter
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,5264,FitashUlHaq$PivotBasedQvto$tests#org.eclipse.m2m.tests.qvt.oml#models#javaless.ecore,205,476,350,48,382,304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,inter
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,9268,BackupTheBerlios$tef-svn$trunk#hub.sam.tef.ecore#models#Ecore.ecore,72,476,441,3,382,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inter
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,10381,markus1978$tef$hub.sam.tef.ecore#models#Ecore.ecore,72,476,441,3,382,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inter
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,8267,kthoms$org.eclipse.xpand$plugins#org.eclipse.xtend.util.uml2ecore#stuff#Ecore.ecore,152,476,349,48,382,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,inter
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,9143,BackupTheBerlios$tef-svn$tags#trunk.BeforeDirksAdditions.2008-27-06#hub.sam.tef.ecore#models#Ecore.ecore,72,476,441,3,382,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inter
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,18412,BackupTheBerlios$tef-svn$tags#2008-09-04_release_1.0.5#hub.sam.tef.ecore#models#Ecore.ecore,72,476,441,3,382,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inter
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,25424,BackupTheBerlios$tef-svn$tags#2008-09-05_release_1.0.6#hub.sam.tef.ecore#models#Ecore.ecore,72,476,441,3,382,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inter
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,21864,BackupTheBerlios$tef-svn$tags#2008-09-18_release_1.0.7#hub.sam.tef.ecore#models#Ecore.ecore,72,476,441,3,382,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inter
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,23020,ikikaze$gmftools$plugins#de.itemis.gmf.tools#metamodels#Ecore.ecore,71,476,441,2,382,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inter
